country,party,month,month_start,speech_count,word_count,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,dominant_topic
CZ,ANO2011,2013-11,2013-11-01,124,7597,3.6506940344157175e-05,0.5998897270981062,0.06708235125712107,0.2011560307732518,3.650671938965374e-05,0.050515311338684664,3.650665169161576e-05,0.060528618284110436,0.020681934294057597,3.65066432428045e-05,topic_1
CZ,CSSD,2013-11,2013-11-01,256,4890,0.03421641287773744,0.4481879391881644,6.155541283274016e-05,0.30620159733817237,0.10981723908602412,0.028296022969514546,6.15553010681779e-05,0.023728330637342823,0.04936779224170084,6.155494744236655e-05,topic_1
CZ,KDU-ČSL,2013-11,2013-11-01,14,921,0.00027330631109116164,0.05365527829554223,0.00027330191089289875,0.2771024672868272,0.0002733027628424219,0.5462646309454143,0.00027330073000133,0.0002733001225366159,0.04495521115386694,0.07665590048098478,topic_5
CZ,KSCM,2013-11,2013-11-01,51,2925,0.08381283701463625,0.07898973747064053,0.0001005315853386903,0.26655352828980877,0.00010053161388365354,0.2709183890096328,0.00010053057316683659,0.01547855320321431,0.2838448295469349,0.0001005316927431896,topic_8
CZ,ODS,2013-11,2013-11-01,84,6990,0.09521530028265716,0.09582116859510219,4.160914442598495e-05,0.3087823081128094,0.3316852995899679,0.11283904825069721,0.007611853096224656,4.160896272962724e-05,0.02737342569584388,0.020588378269541848,topic_4
CZ,TOP09,2013-11,2013-11-01,59,5164,5.6834209682342214e-05,5.6833148894478225e-05,5.6835022602802456e-05,0.29775100902037543,0.23396108565554047,0.23301181830837314,5.6833898601155735e-05,5.6834311939905166e-05,0.23493508167733376,5.6834746656562545e-05,topic_3
CZ,Usvit,2013-11,2013-11-01,24,1471,0.00017610671865760192,0.0001761017926256861,0.18249543472035176,0.4857589882305276,0.00017610438296637487,0.33051283564923073,0.00017610786615929023,0.00017610504134940404,0.0001761075341479774,0.00017610806398338263,topic_3
CZ,ANO2011,2013-12,2013-12-01,261,11532,2.4570284812382053e-05,0.6660861890762219,2.4571132551842484e-05,0.2236017264663733,2.4570914799554637e-05,2.4570571839794016e-05,0.0018804283100983031,0.02644499925309317,0.08186380319648451,2.4570793725207227e-05,topic_1
CZ,CSSD,2013-12,2013-12-01,243,12507,2.1608455922629444e-05,0.3373721633168507,2.1609048227020385e-05,0.017203086611683443,2.1608636290926327e-05,2.1608955294946467e-05,2.1608935690116985e-05,2.160878492244937e-05,0.2701789699397739,0.37511612731534394,topic_9
CZ,KDU-ČSL,2013-12,2013-12-01,38,2584,0.0974689023503962,0.04689333850907032,0.00012791322212962677,0.4565103715594721,0.00012791440849564727,0.031211653299223683,0.048754247483422095,0.00012791619438172537,0.29026275621493985,0.02851498675846884,topic_3
CZ,KSCM,2013-12,2013-12-01,183,13193,2.1543999589762322e-05,0.06564100330509316,0.0018959173841593005,0.19057430937446945,2.1544004775505443e-05,0.15267798932364138,2.1543938167975527e-05,0.0004055911968024481,0.35078354268101813,0.23795701479228282,topic_8
CZ,ODS,2013-12,2013-12-01,275,18695,1.4632440224033616e-05,0.1539957448436563,1.4632307654348059e-05,0.1254947002522084,0.20254380546473907,1.46324175768406e-05,1.4632515716888454e-05,1.4632606343662584e-05,0.43355861983437854,0.084333967317502,topic_8
CZ,TOP09,2013-12,2013-12-01,275,20095,1.4524139133045634e-05,0.0511450875529637,1.4524252547156075e-05,0.3852416253151035,0.1190181361268415,1.4523946387534525e-05,1.4524476306157508e-05,0.00785541843183009,0.43666711149413934,1.4524264747996892e-05,topic_8
CZ,Usvit,2013-12,2013-12-01,78,4627,6.0624038410893e-05,6.062222633372105e-05,0.03841107321817967,0.33076725733218276,6.0623359613596306e-05,0.030906261007473394,6.062238887380226e-05,6.0624597629026976e-05,0.4371439823606574,0.1624683094706456,topic_8
CZ,ANO2011,2014-01,2014-01-01,97,8073,3.93499675084931e-05,0.03926598270677948,3.9350034586592204e-05,0.4768815150306265,0.2272412590038078,3.93504271047118e-05,3.9350607953827554e-05,0.03261340841382431,3.934808184736778e-05,0.22380108572596089,topic_3
CZ,CSSD,2014-01,2014-01-01,122,9557,3.042190796892866e-05,0.1292448157458631,3.0421816465005717e-05,0.2128264228668834,0.21506758232366557,0.05331816553448069,3.042253984373968e-05,3.0422370076828524e-05,0.007678699129234711,0.3817426257655181,topic_9
CZ,KDU-ČSL,2014-01,2014-01-01,33,2304,0.0001299078912598313,0.00012991013438413005,0.0001299074654869477,0.5235919680249398,0.015279934224332874,0.1911971325533621,0.00012991085389677925,0.00012991094637934084,0.010815271980565571,0.25846614592539263,topic_3
CZ,KSCM,2014-01,2014-01-01,58,4522,6.989923009945638e-05,6.989994095789163e-05,0.05669826122495855,0.4740711067008357,0.2049382852651737,6.990069912917971e-05,6.990222233354331e-05,0.019337518327374136,6.990322097638724e-05,0.24460532316816133,topic_3
CZ,ODS,2014-01,2014-01-01,253,23077,1.3529970777077074e-05,0.012059868716795616,1.3530175240426651e-05,0.2868688283332202,0.5967416348099455,0.014789472667430187,1.3614987621694723e-05,0.0012409017142916198,1.352999173464042e-05,0.08824508863294309,topic_4
CZ,TOP09,2014-01,2014-01-01,178,14301,2.126884497038074e-05,0.1388685307232256,2.1269797683500483e-05,0.5415651821603813,0.16561080884986093,2.1269147558372933e-05,2.1269148321806943e-05,2.1269890157707042e-05,2.126781098590971e-05,0.15382786362685472,topic_3
CZ,Usvit,2014-01,2014-01-01,17,1474,0.00019846234973855861,0.00019846722505844052,0.00019846401718588667,0.06412764421312608,0.4372660016120018,0.1255384910871328,0.00019847121904732819,0.00019846349301356757,0.02723702337998583,0.34483851140370975,topic_4
