speech_party,speech_label_type,n_rows,mapping_note
NP,unaffiliated,17119,"Unaffiliated deputies label, not treated as an MPDS manifesto party."
NeP,unaffiliated,3291,"Unaffiliated deputies label, not treated as an MPDS manifesto party."
