speech_party,speech_label_type,n_rows,mapping_note
0UBS,party,12,Party label present in GB parliamentary speeches but not mapped to an MPDS United Kingdom party.
64RT,party,36,Party label present in GB parliamentary speeches but not mapped to an MPDS United Kingdom party.
IGC,party,276,Party label present in GB parliamentary speeches but not mapped to an MPDS United Kingdom party.
LJ95,party,133,Party label present in GB parliamentary speeches but not mapped to an MPDS United Kingdom party.
PAUB,party,396,Party label present in GB parliamentary speeches but not mapped to an MPDS United Kingdom party.
