speech_party,speech_label_type,n_rows,mapping_note
PirSTAN,coalition,16617,"PirSTAN is a parliamentary coalition label, not a single MPDS party."
SPOLU,coalition,28889,"SPOLU is a parliamentary coalition label, not a single MPDS party."
