speech_party,speech_label_type,n_rows,mapping_note
I,independent,8364,Independent speakers are not a manifesto party.
IL,independent,357,Independent Labour is not an MPDS manifesto party.
L8TA,independent,174,Independent Liberal Democrat is not an MPDS manifesto party.
LI,independent,303,Labour Independent is not an MPDS manifesto party.
QMZZ,independent,137,Independent Ulster Unionist is not an MPDS manifesto party.
ZKPW,independent,158,Independent Social Democrat is not an MPDS manifesto party.
BI,parliamentary_label,7930,Bishops are not a manifesto party.
CB,parliamentary_label,65076,"Crossbench is a Lords grouping, not a manifesto party."
